id,name,unit,price,oldPrice,category,emoji,badge,variants,stock
29,Soya Supreme Cooking Oil Bottle - 5Ltr,,3390,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_04274.jpg,PROMO,,79
30,Shan Taaza Dhania Powder - 200gm,,390,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_08109.jpg,PROMO,,82
31,Red Chilli Powder - 100gm,,120,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/r/e/red_chilli_powder_250g.gif,PROMO,,85
32,National Biryani - 78gm,,269,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_biryani_85gm.jpg,PROMO,,88
33,Mundial Olive Oil Pomace Tin - 1Ltr,,3700,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_03212.jpg,PROMO,,91
34,Malka Pink Himalayan Salt - 800gm,,120,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/7/0/705632494080.jpg,PROMO,,94
35,Clove (Laung) - 50gm,,290,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_13615.jpg,PROMO,,97
36,Young's French Mayonnaise - 500ml,,370,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061114.png,PROMO,,100
37,Young's French Mayonnaise - 1Ltr,,670,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/8/9/8964000061121.png,PROMO,,103
38,Yellow Food Coloring (Zarde Ka Rang) - 50gm,,90,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_09130_1.jpg,PROMO,,106
39,Shan Pilau Biryani - 90gm,,290,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_00657_2.jpg,PROMO,,109
40,Red Chilli Crushed - 200gm,,200,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/r/e/red_chilli_crushed_1.png,PROMO,,112
41,Red Chilli Crushed - 100gm,,130,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/r/e/red_chilli_crushed_2.png,PROMO,,115
42,National White Karahi - 40gm,,145,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_white_karahi_45gm.jpg,PROMO,,118
43,National Red Chilli Powder - 200gm,,430,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/a/national_-_national_spices_chilli_powder_200g.jpg,PROMO,,121
44,National Quorma - 86gm,,269,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_quorma_86gm.jpg,PROMO,,124
45,National Chicken Tandoori - 40gm,,130,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_chicken_tandoori_40gm.jpg,PROMO,,127
46,National Biryani - 39gm,,145,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/a/national_-_national_recipes_biryani_50g.jpg,PROMO,,130
47,National Achar Gosht - 43gm,,145,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/n/f/nf_achar_gosht_43gm.jpg,PROMO,,133
48,Kolson Twisted Elbow Macaroni - 400gm,,230,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_04585_2.jpg,PROMO,,136
49,Kolson Penne Macaroni - 400gm,,230,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_04583_2.jpg,PROMO,,139
50,Kolson Large Shell Macaroni - 400gm,,230,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/0/_04579_2.jpg,PROMO,,142
51,Guard Awami Basmati Rice - 5kg,,1575,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/g/u/guard_rice_awami_basmati_5kg.jpg,PROMO,,145
52,Garam Masala Whole - 100gm,,440,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_11177.jpg,PROMO,,148
53,Elaichi Green Cardamom (Elaichi) - 25gm,,400,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/g/r/green_cardamom_elaichi_.jpg,PROMO,,151
54,Daal Moong (Washed) - 1kg,,525,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/a/daal_moong_washed_500g__1.jpg,PROMO,,154
55,Daal Masoor (Big) - 1kg,,390,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1058807-1.jpg,PROMO,,157
56,Daal Mash (White) - 1kg,,640,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1058810-1.jpg,PROMO,,160
57,Daal Mash (Washed) - 500gm,,270,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/d/a/daal-mash-washed-1.jpg,PROMO,,163
58,Daal Chana (Medium) - 1kg,,390,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/1/0/1058803-1.jpg,PROMO,,166
59,Coriander Powder (Dhania) - 100gm,,100,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10215_2.jpg,PROMO,,169
60,Black Cardamom (Kali Elaichi) - 50gm,,430,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10216.jpg,PROMO,,172
61,Black Cardamom (Kali Elaichi) - 25gm,,240,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10216_1.jpg,PROMO,,175
62,Bay-Leaf (Tez Pata) - 50gm,,100,,Groceries,https://cdn.mycart.pk/media/catalog/product/cache/1/small_image/200x/17f82f742ffe127f42dca9de82fb58b1/_/1/_10204.jpg,PROMO,,178
